Protein stable ID	UniProtKB Gene Name ID
AT5G02450.1	Q9LZ57
AT5G02610.2	Q9LZ41
AT5G02870.1	F4KDU5
AT5G02870.1	P49691
AT5G02960.1	P49201
AT5G03850.1	Q9SR73
AT5G04800.2	Q9LZ17
AT5G07090.1	P49204
AT5G08180.2	
AT5G09490.1	Q9FY66
AT5G09500.1	Q9FY65
AT5G09510.1	Q9FY64
AT5G10360.1	F4KGU2
AT5G10360.1	P51430
AT5G15200.1	Q9LXG1
AT5G15520.1	Q9LF30
AT5G15750.1	
AT5G16130.1	Q8LD03
AT5G18380.1	Q42340
AT5G20160.2	
AT5G20290.1	Q93VG5
AT5G22440.1	P59231
AT5G23740.1	P42733
AT5G23900.1	Q9FF90
AT5G24510.1	
AT5G27700.1	Q3E902
AT5G27770.1	Q9FE58
AT5G27850.1	A0A1P8BGQ0
AT5G27850.1	Q940B0
AT5G28060.1	Q8LC83
AT5G35530.1	Q9FJA6
AT5G39740.2	P49227
AT5G39850.1	Q9FLF0
AT5G40040.1	Q9LUK2
AT5G41520.1	A8MRV0
AT5G41520.1	Q9FFS8
AT5G43640.1	Q9FIX6
AT5G45775.2	P42794
AT5G46430.2	Q9FHG2
AT5G47700.1	Q8LEQ0
AT5G47930.1	Q8L953
AT5G48760.1	Q9FKC0
AT5G52650.1	Q9LTF2
AT5G56670.1	P49689
AT5G56710.1	A8MR49
AT5G56710.1	P51420
AT5G57290.1	B3H4N7
AT5G57290.1	F4KAM0
AT5G57290.1	Q9LVC9
AT5G58420.1	Q8VYK6
AT5G59240.1	Q9FIF3
AT5G59850.1	P42798
AT5G60670.1	Q9FF52
AT5G61170.1	Q9FNP8
AT5G62300.1	P49200
AT5G63070.1	Q9FML6
AT5G64140.1	P34789
AT5G67510.1	Q9FJX2
ATCG00380.1	A0A1B1W4U6
ATCG00380.1	P56799
ATCG00750.1	A0A1B1W4X8
ATCG00750.1	P56802
ATCG00770.1	A0A1B1W4X7
ATCG00770.1	P56801
ATCG00800.1	A0A1B1W4X6
ATCG00800.1	P56798
ATCG00830.1	A0A1B1W512
ATCG00830.1	P56791
ATCG01310.1	A0A1B1W512
ATCG01310.1	P56791
FBpp0307130	O76927
FBpp0311986	Q8MLY8
FBpp0074833	Q9VVU2
FBpp0071958	Q9W1T1
FBpp0074500	Q9VWG3
FBpp0088242	P55830
FBpp0071808	P48159
FBpp0083371	P55828
FBpp0075612	P80455
FBpp0291726	Q9VMU4
FBpp0310057	Q9W334
FBpp0073624	P48149
FBpp0308991	Q8T3U2
FBpp0099990	Q03334
FBpp0079606	P15357
FBpp0070767	Q9W499
FBpp0084306	Q9VBN5
FBpp0289148	O61231
FBpp0307135	P41092
FBpp0111950	Q9VKC1
FBpp0086096	Q7JZ53
FBpp0072802	Q9V3G1
FBpp0071518	Q24154
FBpp0072687	Q9W0A8
FBpp0309436	P46222
FBpp0308324	Q9VA91
FBpp0309532	P55935
FBpp0071051	C0HKA0
FBpp0309565	Q9VJY6
FBpp0081528	Q9VHE5
FBpp0309987	P46223
FBpp0304717	Q7KS38
FBpp0070143	P50887
FBpp0084959	P04359
FBpp0084346	Q9VBH8
FBpp0309759	Q9W237
FBpp0087321	Q7KR04
FBpp0078354	Q9VNE9
FBpp0084617	P09180
FBpp0293236	Q9VBU9
FBpp0082483	Q9VFE0
FBpp0081614	Q9VH69
FBpp0074086	P39018
FBpp0079752	P50882
FBpp0079500	P31009
FBpp0070150	P49630
FBpp0078416	Q9VNB9
FBpp0303429	Q9VXX8
FBpp0071846	Q9W229
FBpp0307759	O16797
FBpp0089141	P36241
FBpp0084966	Q9VAB9
FBpp0072960	Q9VZS5
FBpp0070942	Q9W3W8
FBpp0075448	Q9V3U2
FBpp0312066	Q06559
FBpp0083377	Q9VDH8
FBpp0071087	P29327
FBpp0309957	Q24186
FBpp0085166	Q9V9W3
FBpp0079536	P32100
FBpp0071888	Q9W1U6
FBpp0076359	P55841
FBpp0080723	Q9VJ19
FBpp0311488	Q9VLT7
FBpp0087115	Q0E9B6
FBpp0076207	P17704
FBpp0075764	Q9VTP4
FBpp0082465	Q9VFE4
FBpp0076602	Q9VS34
FBpp0087609	Q9V597
FBpp0111290	A8DYY3
FBpp0086252	P05389
FBpp0077716	P08570
FBpp0110421	Q9W5R8
FBpp0300652	O17445
FBpp0088833	Q9VEN6
FBpp0081846	P48588
FBpp0080641	P13008
FBpp0303728	Q9V9M7
FBpp0071052	C0HKA1
FBpp0099610	Q962S2
FBpp0072085	Q9W1B9
FBpp0306998	Q9W5N2
FBpp0086269	Q7JZW2
FBpp0072094	O16130
FBpp0086103	P41093
FBpp0070277	P38979
FBpp0310071	Q9VLK2
FBpp0306837	P18101
FBpp0307465	Q9U3Z7
FBpp0075618	P41042
FBpp0306232	P19889
FBpp0087511	Q7K1Q7
FBpp0084564	Q9VB14
FBpp0099517	P41126
FBpp0085585	P41094
FBpp0075941	Q9VTF8
FBpp0081879	Q9VGN9
ENSP00000250784.7	P22090
ENSP00000250784.7	C9JEH7
ENSP00000486252.1	Q8TD47
ENSP00000487443.1	Q5T8U3
ENSP00000487443.1	Q5T8U2
ENSP00000487443.1	P62424
ENSP00000486392.1	P62851
ENSP00000486392.1	E9PQK3
ENSP00000486392.1	E9PK60
ENSP00000499827.1	A0AAG2TTP8
ENSP00000463379.1	A0A0A6YYL6
ENSP00000463379.1	A0A0A0MRF8
ENSP00000484734.1	A0A024RB15
ENSP00000488464.1	P08708
ENSP00000488464.1	H0YN88
ENSP00000488464.1	A0A075B716
ENSP00000498157.1	Q6FHM6
ENSP00000498157.1	P55769
ENSP00000498157.1	A0A3B3IRU2
ENSP00000498157.1	A0A3B3ISK4
ENSP00000498157.1	A0A3B3ISH9
ENSP00000498157.1	A0A3B3ISH1
ENSP00000498157.1	A0A3B3IUA2
ENSP00000498157.1	B1AHD1
ENSP00000386655.4	H7BZ11
ENSP00000386655.4	H0Y3V9
ENSP00000482023.1	P46781
ENSP00000482023.1	F2Z3C0
ENSP00000482023.1	A8MXK4
ENSP00000482023.1	B5MCT8
ENSP00000482023.1	C9JM19
ENSP00000481655.1	P46781
ENSP00000481655.1	F2Z3C0
ENSP00000481655.1	A8MXK4
ENSP00000481655.1	B5MCT8
ENSP00000481655.1	C9JM19
ENSP00000298283.3	Q96L21
ENSP00000484394.1	P46781
ENSP00000484394.1	F2Z3C0
ENSP00000484394.1	A8MXK4
ENSP00000484394.1	B5MCT8
ENSP00000484394.1	C9JM19
ENSP00000482475.1	P46781
ENSP00000482475.1	F2Z3C0
ENSP00000482475.1	A8MXK4
ENSP00000482475.1	B5MCT8
ENSP00000482475.1	C9JM19
ENSP00000482274.1	P46781
ENSP00000482274.1	F2Z3C0
ENSP00000482274.1	A8MXK4
ENSP00000482274.1	B5MCT8
ENSP00000482274.1	C9JM19
ENSP00000370569.1	Q6IAX2
ENSP00000370569.1	G3V1B3
ENSP00000370569.1	P46778
ENSP00000370569.1	M0R3I5
ENSP00000370569.1	M0R181
ENSP00000480135.1	P46781
ENSP00000480135.1	F2Z3C0
ENSP00000480135.1	A8MXK4
ENSP00000480135.1	B5MCT8
ENSP00000480135.1	C9JM19
ENSP00000385217.1	Q9NV31
ENSP00000479917.1	P46781
ENSP00000479917.1	F2Z3C0
ENSP00000479917.1	A8MXK4
ENSP00000479917.1	B5MCT8
ENSP00000479917.1	C9JM19
ENSP00000501018.1	
ENSP00000454786.2	
ENSP00000481194.1	P46781
ENSP00000481194.1	F2Z3C0
ENSP00000481194.1	A8MXK4
ENSP00000481194.1	B5MCT8
ENSP00000481194.1	C9JM19
ENSP00000478449.1	P46781
ENSP00000478449.1	F2Z3C0
ENSP00000478449.1	A8MXK4
ENSP00000478449.1	B5MCT8
ENSP00000478449.1	C9JM19
ENSP00000491891.1	A0A1W2PQS6
ENSP00000412583.2	P62269
ENSP00000412583.2	Q5GGW2
ENSP00000412583.2	J3JS69
ENSP00000412583.2	A0A0G2JQH2
ENSP00000392349.1	P62269
ENSP00000392349.1	Q5GGW2
ENSP00000392349.1	J3JS69
ENSP00000392349.1	A0A0G2JQH2
ENSP00000379506.2	P50914
ENSP00000379506.2	E7EPB3
ENSP00000379506.2	F8WDZ7
ENSP00000416110.2	P62269
ENSP00000416110.2	Q5GGW2
ENSP00000416110.2	J3JS69
ENSP00000416110.2	A0A0G2JQH2
ENSP00000339795.2	A8MUD9
ENSP00000339795.2	P18124
ENSP00000339795.2	C9JZ88
ENSP00000339795.2	C9JIJ5
ENSP00000483017.1	J3KQN4
ENSP00000483017.1	P83881
ENSP00000483017.1	R4GN19
ENSP00000483017.1	H7BY91
ENSP00000483017.1	H0Y5B4
ENSP00000262584.3	G3V1A1
ENSP00000262584.3	P62917
ENSP00000262584.3	E9PKZ0
ENSP00000262584.3	E9PP36
ENSP00000262584.3	E9PKU4
ENSP00000462385.1	P18621
ENSP00000462385.1	J3QS96
ENSP00000462385.1	J3QLC8
ENSP00000462385.1	A0A087WY81
ENSP00000462385.1	A0A087WXM6
ENSP00000462385.1	J3QQT2
ENSP00000462385.1	J3KRB3
ENSP00000462385.1	J3KRX5
ENSP00000462385.1	J3KSJ0
ENSP00000462385.1	A0A087WWH0
ENSP00000346037.5	P05386
ENSP00000346037.5	H0YL57
ENSP00000362744.4	P62701
ENSP00000362744.4	B2R491
ENSP00000496485.1	P62273
ENSP00000496485.1	A0A2R8Y851
ENSP00000496485.1	A0A2R8Y6P7
ENSP00000496485.1	A0A087WTT6
ENSP00000429374.1	P60866
ENSP00000429374.1	E5RJX2
ENSP00000429374.1	G3XAN0
ENSP00000429374.1	A0A7P0S5H5
ENSP00000429374.1	E5RIP1
ENSP00000361076.3	Q5T8U3
ENSP00000361076.3	Q5T8U2
ENSP00000361076.3	P62424
ENSP00000463847.1	
ENSP00000367806.2	P62249
ENSP00000367806.2	Q6IPX4
ENSP00000367806.2	M0R210
ENSP00000367806.2	M0R3H0
ENSP00000367806.2	M0R1M5
ENSP00000270625.1	P62280
ENSP00000270625.1	M0R1H6
ENSP00000270625.1	M0QZC5
ENSP00000270625.1	M0R1H5
ENSP00000270625.1	M0QZ90
ENSP00000378081.2	Q9Y3U8
ENSP00000378081.2	J3QSB5
ENSP00000378081.2	J3KTD3
ENSP00000498621.1	P62266
ENSP00000498621.1	D6RD47
ENSP00000498621.1	A8K517
ENSP00000498621.1	D6RDJ2
ENSP00000498621.1	D6RIX0
ENSP00000498621.1	D6R9I7
ENSP00000403175.2	P62269
ENSP00000403175.2	Q5GGW2
ENSP00000403175.2	J3JS69
ENSP00000403175.2	A0A0G2JQH2
ENSP00000274242.5	P61927
ENSP00000274242.5	D6RG19
ENSP00000274242.5	D6R9X9
ENSP00000211372.5	P62269
ENSP00000211372.5	Q5GGW2
ENSP00000211372.5	J3JS69
ENSP00000211372.5	A0A0G2JQH2
ENSP00000354739.5	P30050
ENSP00000222247.4	M0R1A7
ENSP00000222247.4	Q02543
ENSP00000222247.4	M0R3D6
ENSP00000222247.4	M0R117
ENSP00000222247.4	M0R0P7
ENSP00000503411.1	A0A7I2V2C6
ENSP00000503411.1	Q9UHA3
ENSP00000503411.1	H3BPF2
ENSP00000503411.1	A0A7I2V3F2
ENSP00000503411.1	H3BMQ2
ENSP00000503411.1	A0A7I2V359
ENSP00000358832.2	P27635
ENSP00000358832.2	F8W7C6
ENSP00000358832.2	A6QRI9
ENSP00000358832.2	X5D2T3
ENSP00000358832.2	X1WI28
ENSP00000358832.2	H7C123
ENSP00000358832.2	H7C2C5
ENSP00000358832.2	B8A6G2
ENSP00000358832.2	H7C2U2
ENSP00000453764.1	Q71UM5
ENSP00000453764.1	C9J1C5
ENSP00000453764.1	H0YMV8
ENSP00000453764.1	C9JLI6
ENSP00000355315.3	P62891
ENSP00000346012.5	Q969Q0
ENSP00000452889.1	P08708
ENSP00000452889.1	H0YN88
ENSP00000452889.1	A0A075B716
ENSP00000495030.1	A0A2R8Y6Q1
ENSP00000495030.1	A0A2R8YH53
ENSP00000495030.1	A0A2R8Y809
ENSP00000465763.1	
ENSP00000359624.1	P63220
ENSP00000359624.1	Q6FGH5
ENSP00000359624.1	Q9BYK1
ENSP00000359624.1	Q8WVC2
ENSP00000359624.1	Q9BYK2
ENSP00000311430.6	H3BM89
ENSP00000311430.6	P36578
ENSP00000311430.6	H3BU31
ENSP00000311430.6	H3BTP7
ENSP00000483260.1	E7ERA2
ENSP00000483260.1	P61313
ENSP00000483260.1	A0A2R8YEM3
ENSP00000483260.1	E7EX53
ENSP00000483260.1	A0A2R8Y738
ENSP00000483260.1	E7ENU7
ENSP00000483260.1	E7EQV9
ENSP00000230050.3	P25398
ENSP00000377640.3	P83731
ENSP00000377640.3	C9JNW5
ENSP00000377640.3	A0A994J4A5
ENSP00000377640.3	C9JXB8
ENSP00000377640.3	V9HW01
ENSP00000466010.1	P62841
ENSP00000466010.1	K7EM56
ENSP00000466010.1	A0A0B4J2B4
ENSP00000466010.1	K7EQJ5
ENSP00000466010.1	S4R417
ENSP00000466010.1	S4R456
ENSP00000466010.1	K7EJ78
ENSP00000466010.1	K7ELC2
ENSP00000495142.1	P46783
ENSP00000495142.1	A0A2R8Y7H1
ENSP00000495142.1	A0A2R8YFH6
ENSP00000495142.1	A0A2R8Y6L3
ENSP00000495142.1	F6U211
ENSP00000259469.4	F2Z388
ENSP00000259469.4	P42766
ENSP00000346015.5	E9PJD9
ENSP00000346015.5	P46776
ENSP00000346015.5	E9PKT2
ENSP00000346015.5	E9PLL6
ENSP00000346015.5	E9PLX7
ENSP00000373404.3	Q5T653
ENSP00000373404.3	C9JZG7
ENSP00000373404.3	C9J5E0
ENSP00000373404.3	C9IY40
ENSP00000373404.3	C9JZW2
ENSP00000274606.4	Q9NX24
ENSP00000274606.4	D6RCB9
ENSP00000274606.4	D6RC52
ENSP00000274606.4	J3QSY4
ENSP00000389356.1	Q96EH5
ENSP00000495672.1	P18077
ENSP00000495672.1	F8WBS5
ENSP00000495672.1	C9K025
ENSP00000495672.1	F8WB72
ENSP00000435777.1	P62277
ENSP00000435777.1	E9PS50
ENSP00000435777.1	J3KMX5
ENSP00000470004.1	P39019
ENSP00000470004.1	B0ZBD0
ENSP00000470004.1	M0QYF7
ENSP00000470004.1	M0R2L9
ENSP00000470004.1	A0A075B6E2
ENSP00000470004.1	M0R140
ENSP00000496643.1	P62854
ENSP00000454746.2	
ENSP00000393241.2	P62269
ENSP00000393241.2	Q5GGW2
ENSP00000393241.2	J3JS69
ENSP00000393241.2	A0A0G2JQH2
ENSP00000369757.4	P62753
ENSP00000369757.4	A2A3R5
ENSP00000369757.4	A2A3R6
ENSP00000369757.4	A2A3R7
ENSP00000497923.1	P47914
ENSP00000497923.1	C9IYI4
ENSP00000497923.1	A0A3B3ITT5
ENSP00000497923.1	F8WF43
ENSP00000287038.3	P62888
ENSP00000287038.3	E5RJH3
ENSP00000287038.3	A0A0B4J213
ENSP00000287038.3	E5RI99
ENSP00000287038.3	A0A0C4DH44
ENSP00000435096.1	P62851
ENSP00000435096.1	E9PQK3
ENSP00000435096.1	E9PK60
ENSP00000346001.3	P39023
ENSP00000346001.3	G5E9G0
ENSP00000346001.3	F8WCR1
ENSP00000346001.3	H7C422
ENSP00000346001.3	B5MCW2
ENSP00000472768.1	Q3MIH3
ENSP00000472768.1	P62987
ENSP00000472768.1	M0R1V7
ENSP00000472768.1	M0R2S1
ENSP00000472768.1	M0R1M6
ENSP00000278572.6	P23396
ENSP00000278572.6	H0YCJ7
ENSP00000278572.6	E9PSF4
ENSP00000278572.6	E9PJN9
ENSP00000278572.6	E9PQX2
ENSP00000278572.6	F2Z2S8
ENSP00000278572.6	E9PL09
ENSP00000278572.6	E9PJH4
ENSP00000278572.6	E9PK82
ENSP00000278572.6	E9PQ96
ENSP00000278572.6	E9PPU1
ENSP00000385286.1	P62081
ENSP00000385286.1	B5MCP9
ENSP00000385286.1	A0A2R8Y623
ENSP00000472469.1	P62857
ENSP00000472469.1	B2R4R9
ENSP00000466019.1	P61353
ENSP00000466019.1	K7ERY7
ENSP00000466019.1	K7EQQ9
ENSP00000503598.1	A0A7I2YQG2
ENSP00000503598.1	J3KTE4
ENSP00000503598.1	P84098
ENSP00000503598.1	A0A7I2V638
ENSP00000503598.1	A0A7I2V512
ENSP00000503598.1	A0A7I2V2L0
ENSP00000503598.1	A0A7I2V4U6
ENSP00000503598.1	J3QR09
ENSP00000458115.1	P62244
ENSP00000458115.1	I3L246
ENSP00000458115.1	H3BV27
ENSP00000458115.1	I3L3P7
ENSP00000458115.1	I3L303
ENSP00000458115.1	H3BT37
ENSP00000317376.4	P82912
ENSP00000317376.4	H0YL99
ENSP00000339064.5	P62910
ENSP00000339064.5	F8W727
ENSP00000339064.5	D3YTI8
ENSP00000339064.5	D3YTB1
ENSP00000509526.1	A0A8I5KQE6
ENSP00000084795.5	G3V203
ENSP00000084795.5	Q07020
ENSP00000084795.5	A0A075B7A0
ENSP00000084795.5	F8VYV2
ENSP00000084795.5	F8VXR6
ENSP00000084795.5	F8VUA6
ENSP00000449026.1	P62945
ENSP00000434243.1	P63173
ENSP00000434243.1	J3KT73
ENSP00000434243.1	J3KSP2
ENSP00000434243.1	J3QL01
ENSP00000471388.1	P46782
ENSP00000471388.1	M0R0F0
ENSP00000471388.1	M0QZN2
ENSP00000471388.1	M0R0R2
ENSP00000386737.1	B8ZZK4
ENSP00000386737.1	B7Z4C8
ENSP00000386737.1	P62899
ENSP00000386737.1	B7Z4E3
ENSP00000386737.1	C9JU56
ENSP00000377865.1	P62829
ENSP00000377865.1	J3KTJ3
ENSP00000377865.1	J3KT29
ENSP00000377865.1	C9JD32
ENSP00000377865.1	B9ZVP7
ENSP00000377865.1	J3QQT9
ENSP00000460871.1	O76021
ENSP00000460871.1	J3QSV6
ENSP00000460871.1	I3L3U9
ENSP00000460871.1	I3L4T8
ENSP00000460871.1	I3L3C4
ENSP00000460871.1	J3KPU7
ENSP00000460871.1	I3L1Y4
ENSP00000460871.1	I3L2F2
ENSP00000460871.1	I3L234
ENSP00000346063.4	Q6DKI1
ENSP00000346063.4	A0A1W2PQ76
ENSP00000378396.4	K7EMA7
ENSP00000378396.4	A8MUS3
ENSP00000378396.4	P62750
ENSP00000378396.4	K7ERT8
ENSP00000463470.1	P61254
ENSP00000463470.1	J3KSS0
ENSP00000463470.1	J3QQV1
ENSP00000463470.1	J3QRI7
ENSP00000463470.1	J3KS10
ENSP00000346088.3	K7ERI7
ENSP00000346088.3	P35268
ENSP00000346088.3	K7EP65
ENSP00000346088.3	K7ELC4
ENSP00000346088.3	K7EJT5
ENSP00000346088.3	K7EMH1
ENSP00000494836.1	P32969
ENSP00000494836.1	Q53Z07
ENSP00000494836.1	D6RAN4
ENSP00000494836.1	H0Y9R4
ENSP00000494836.1	H0Y9V9
ENSP00000494836.1	A0A2R8Y5Y7
ENSP00000414321.1	P62847
ENSP00000414321.1	A0A2R8YD14
ENSP00000414321.1	A0A2R8Y849
ENSP00000414321.1	E7ETK0
ENSP00000379888.3	P62241
ENSP00000379888.3	Q5JR94
ENSP00000379888.3	Q5JR95
ENSP00000363018.3	P62906
ENSP00000311028.5	P62263
ENSP00000311028.5	E5RH77
ENSP00000311028.5	A0A2R8Y811
ENSP00000359345.2	A2RUM7
ENSP00000359345.2	P46777
ENSP00000359345.2	A0A2R8Y4A2
ENSP00000359345.2	R4GNJ2
ENSP00000359345.2	Q5T7N0
ENSP00000359345.2	A0A2R8Y6J3
ENSP00000364320.3	Q9UKD2
ENSP00000375633.2	P46781
ENSP00000375633.2	F2Z3C0
ENSP00000375633.2	A8MXK4
ENSP00000375633.2	B5MCT8
ENSP00000375633.2	C9JM19
ENSP00000470037.2	P40429
ENSP00000470037.2	Q8J015
ENSP00000470037.2	A0A096LPE0
ENSP00000470037.2	A0A7I2V376
ENSP00000470037.2	A0A7I2V2L9
ENSP00000470037.2	A0A7I2V5L3
ENSP00000470037.2	M0QZU1
ENSP00000499044.1	P42677
ENSP00000499044.1	A0A2R8Y731
ENSP00000434440.1	P62861
ENSP00000434440.1	E9PMS9
ENSP00000434440.1	E9PR30
ENSP00000434440.1	J3KN89
ENSP00000434440.1	E9PM49
ENSP00000403172.2	Q02878
ENSP00000403172.2	F8VWR1
ENSP00000403172.2	F8VU16
ENSP00000403172.2	F8VR69
ENSP00000403172.2	F8VZ45
ENSP00000403172.2	U3KQR5
ENSP00000403172.2	F8VZA3
ENSP00000378163.2	P49207
ENSP00000430147.1	Q9UNX3
ENSP00000430147.1	E5RIT6
ENSP00000430147.1	E5RHH1
ENSP00000346050.3	P61247
ENSP00000346050.3	D6RG13
ENSP00000346050.3	D6RGE0
ENSP00000346050.3	D6RI02
ENSP00000346050.3	H0Y8L7
ENSP00000346050.3	H0Y9Y4
ENSP00000346050.3	D6RAS7
